state,category,number,date
alaska,Other,0,2022-06-14
americansamoa,Individuals/Families,0,2022-06-14
americansamoa,Childcare and Pre-Schools,0,2022-06-14
americansamoa,K-12 Schools and Districts,0,2022-06-14
americansamoa,Colleges and Universities,0,2022-06-14
americansamoa,Local Government,100,2022-06-14
americansamoa,State Government,0,2022-06-14
americansamoa,Federal/National Government (Including Military),0,2022-06-14
americansamoa,Tribes/Indigenous Peoples,0,2022-06-14
americansamoa,Businesses,6,2022-06-14
americansamoa,Hotels and Other Lodgings,0,2022-06-14
americansamoa,Healthcare,0,2022-06-14
americansamoa,Senior Facilities/Communities,0,2022-06-14
americansamoa,Disability/AFN Organizations,0,2022-06-14
americansamoa,Non-Profit Organizations,0,2022-06-14
americansamoa,Neighborhood Groups,0,2022-06-14
americansamoa,Preparedness Organizations,0,2022-06-14
americansamoa,Faith-based Organizations,0,2022-06-14
americansamoa,"Museums, Libraries, Parks, etc.",0,2022-06-14
americansamoa,Animal Shelter/Service Providers,0,2022-06-14
americansamoa,Agriculture/Livestock Sector,0,2022-06-14
americansamoa,Volunteer Radio Groups,0,2022-06-14
americansamoa,Science/Engineering Organizations,0,2022-06-14
americansamoa,Media Organizations,0,2022-06-14
americansamoa,Other,0,2022-06-14
arizona,Individuals/Families,5,2022-06-14
arizona,Childcare and Pre-Schools,0,2022-06-14
arizona,K-12 Schools and Districts,0,2022-06-14
arizona,Colleges and Universities,0,2022-06-14
arizona,Local Government,0,2022-06-14
arizona,State Government,0,2022-06-14
arizona,Federal/National Government (Including Military),0,2022-06-14
arizona,Tribes/Indigenous Peoples,0,2022-06-14
arizona,Businesses,0,2022-06-14
arizona,Hotels and Other Lodgings,0,2022-06-14
arizona,Healthcare,240,2022-06-14
arizona,Senior Facilities/Communities,0,2022-06-14
arizona,Disability/AFN Organizations,0,2022-06-14
arizona,Non-Profit Organizations,0,2022-06-14
arizona,Neighborhood Groups,0,2022-06-14
arizona,Preparedness Organizations,0,2022-06-14
arizona,Faith-based Organizations,0,2022-06-14
arizona,"Museums, Libraries, Parks, etc.",0,2022-06-14
arizona,Animal Shelter/Service Providers,0,2022-06-14
arizona,Agriculture/Livestock Sector,0,2022-06-14
arizona,Volunteer Radio Groups,0,2022-06-14
arizona,Science/Engineering Organizations,0,2022-06-14
arizona,Media Organizations,0,2022-06-14
arizona,Other,0,2022-06-14
california,Individuals/Families,672,2022-06-14
california,Childcare and Pre-Schools,"5,448",2022-06-14
california,K-12 Schools and Districts,"3,976,419",2022-06-14
california,Colleges and Universities,"960,891",2022-06-14
california,Local Government,"507,626",2022-06-14
california,State Government,"39,278",2022-06-14
california,Federal/National Government (Including Military),"73,453",2022-06-14
california,Businesses,"142,929",2022-06-14
california,Hotels and Other Lodgings,"1,750",2022-06-14
california,Healthcare,"68,084",2022-06-14
california,Senior Facilities/Communities,"12,635",2022-06-14
california,Disability/AFN Organizations,536,2022-06-14
california,Non-Profit Organizations,"16,229",2022-06-14
california,Neighborhood Groups,"3,200",2022-06-14
california,Preparedness Organizations,"1,315",2022-06-14
california,Faith-based Organizations,"125,144",2022-06-14
california,"Museums, Libraries, Parks, etc.","1,520",2022-06-14
california,Animal Shelter/Service Providers,110,2022-06-14
california,Agriculture/Livestock Sector,0,2022-06-14
california,Volunteer Radio Groups,140,2022-06-14
california,Science/Engineering Organizations,182,2022-06-14
california,Media Organizations,0,2022-06-14
california,Other,205,2022-06-14
centralus,Individuals/Families,114,2022-06-14
centralus,Childcare and Pre-Schools,700,2022-06-14
centralus,K-12 Schools and Districts,"8,466",2022-06-14
centralus,Colleges and Universities,"11,675",2022-06-14
centralus,Local Government,"1,359",2022-06-14
centralus,State Government,702,2022-06-14
centralus,Federal/National Government (Including Military),"15,000",2022-06-14
centralus,Tribes/Indigenous Peoples,0,2022-06-14
centralus,Businesses,"16,551",2022-06-14
centralus,Hotels and Other Lodgings,0,2022-06-14
centralus,Healthcare,"2,987",2022-06-14
centralus,Senior Facilities/Communities,525,2022-06-14
centralus,Disability/AFN Organizations,250,2022-06-14
centralus,Non-Profit Organizations,380,2022-06-14
centralus,Neighborhood Groups,0,2022-06-14
centralus,Preparedness Organizations,4,2022-06-14
centralus,Faith-based Organizations,0,2022-06-14
centralus,"Museums, Libraries, Parks, etc.",300,2022-06-14
centralus,Animal Shelter/Service Providers,0,2022-06-14
centralus,Agriculture/Livestock Sector,0,2022-06-14
centralus,Volunteer Radio Groups,0,2022-06-14
centralus,Science/Engineering Organizations,0,2022-06-14
centralus,Media Organizations,0,2022-06-14
centralus,Other,"2,200",2022-06-14
cnmi,Individuals/Families,0,2022-06-14
cnmi,Childcare and Pre-Schools,0,2022-06-14
cnmi,K-12 Schools and Districts,0,2022-06-14
cnmi,Colleges and Universities,0,2022-06-14
cnmi,Local Government,0,2022-06-14
cnmi,State Government,0,2022-06-14
cnmi,Federal/National Government (Including Military),0,2022-06-14
cnmi,Businesses,0,2022-06-14
cnmi,Hotels and Other Lodgings,0,2022-06-14
cnmi,Healthcare,0,2022-06-14
cnmi,Senior Facilities/Communities,0,2022-06-14
cnmi,Disability/AFN Organizations,0,2022-06-14
cnmi,Non-Profit Organizations,0,2022-06-14
cnmi,Neighborhood Groups,0,2022-06-14
cnmi,Preparedness Organizations,0,2022-06-14
cnmi,Faith-based Organizations,0,2022-06-14
cnmi,"Museums, Libraries, Parks, etc.",0,2022-06-14
cnmi,Animal Shelter/Service Providers,0,2022-06-14
cnmi,Agriculture/Livestock Sector,0,2022-06-14
cnmi,Volunteer Radio Groups,0,2022-06-14
cnmi,Science/Engineering Organizations,0,2022-06-14
cnmi,Media Organizations,0,2022-06-14
cnmi,Other,0,2022-06-14
colorado,Individuals/Families,7,2022-06-14
colorado,Childcare and Pre-Schools,0,2022-06-14
colorado,K-12 Schools and Districts,0,2022-06-14
colorado,Colleges and Universities,0,2022-06-14
colorado,Local Government,0,2022-06-14
colorado,State Government,0,2022-06-14
colorado,Federal/National Government (Including Military),0,2022-06-14
colorado,Tribes/Indigenous Peoples,0,2022-06-14
colorado,Businesses,0,2022-06-14
colorado,Hotels and Other Lodgings,0,2022-06-14
colorado,Healthcare,0,2022-06-14
colorado,Senior Facilities/Communities,0,2022-06-14
colorado,Disability/AFN Organizations,0,2022-06-14
colorado,Non-Profit Organizations,0,2022-06-14
colorado,Neighborhood Groups,0,2022-06-14
colorado,Preparedness Organizations,0,2022-06-14
colorado,Faith-based Organizations,0,2022-06-14
colorado,"Museums, Libraries, Parks, etc.",0,2022-06-14
colorado,Animal Shelter/Service Providers,0,2022-06-14
colorado,Agriculture/Livestock Sector,0,2022-06-14
colorado,Volunteer Radio Groups,0,2022-06-14
colorado,Science/Engineering Organizations,0,2022-06-14
colorado,Media Organizations,0,2022-06-14
colorado,Other,0,2022-06-14
guam,Individuals/Families,0,2022-06-14
guam,Childcare and Pre-Schools,0,2022-06-14
guam,K-12 Schools and Districts,0,2022-06-14
guam,Colleges and Universities,0,2022-06-14
guam,Local Government,0,2022-06-14
guam,Federal/National Government (Including Military),0,2022-06-14
guam,Businesses,0,2022-06-14
guam,Hotels and Other Lodgings,0,2022-06-14
guam,Healthcare,0,2022-06-14
guam,Disability/AFN Organizations,0,2022-06-14
guam,Non-Profit Organizations,0,2022-06-14
guam,Neighborhood Groups,0,2022-06-14
guam,Faith-based Organizations,0,2022-06-14
guam,"Museums, Libraries, Parks, etc.",0,2022-06-14
guam,Media Organizations,0,2022-06-14
guam,Other,0,2022-06-14
hawaii,Individuals/Families,7,2022-06-14
hawaii,Childcare and Pre-Schools,0,2022-06-14
hawaii,K-12 Schools and Districts,800,2022-06-14
hawaii,Colleges and Universities,0,2022-06-14
hawaii,Local Government,0,2022-06-14
hawaii,State Government,80,2022-06-14
hawaii,Federal/National Government (Including Military),0,2022-06-14
hawaii,Tribes/Indigenous Peoples,0,2022-06-14
hawaii,Businesses,0,2022-06-14
hawaii,Hotels and Other Lodgings,0,2022-06-14
hawaii,Healthcare,0,2022-06-14
hawaii,Senior Facilities/Communities,15,2022-06-14
hawaii,Disability/AFN Organizations,0,2022-06-14
hawaii,Non-Profit Organizations,0,2022-06-14
hawaii,Neighborhood Groups,0,2022-06-14
hawaii,Preparedness Organizations,0,2022-06-14
hawaii,Faith-based Organizations,0,2022-06-14
hawaii,"Museums, Libraries, Parks, etc.",0,2022-06-14
hawaii,Animal Shelter/Service Providers,0,2022-06-14
hawaii,Agriculture/Livestock Sector,0,2022-06-14
hawaii,Volunteer Radio Groups,0,2022-06-14
hawaii,Science/Engineering Organizations,0,2022-06-14
hawaii,Media Organizations,0,2022-06-14
hawaii,Other,0,2022-06-14
idaho,Individuals/Families,10,2022-06-14
idaho,Childcare and Pre-Schools,0,2022-06-14
idaho,K-12 Schools and Districts,0,2022-06-14
idaho,Colleges and Universities,0,2022-06-14
idaho,Local Government,2,2022-06-14
idaho,State Government,0,2022-06-14
idaho,Federal/National Government (Including Military),0,2022-06-14
idaho,Tribes/Indigenous Peoples,0,2022-06-14
idaho,Businesses,0,2022-06-14
idaho,Hotels and Other Lodgings,0,2022-06-14
idaho,Healthcare,216,2022-06-14
idaho,Senior Facilities/Communities,0,2022-06-14
idaho,Disability/AFN Organizations,0,2022-06-14
idaho,Non-Profit Organizations,0,2022-06-14
idaho,Neighborhood Groups,0,2022-06-14
idaho,Preparedness Organizations,0,2022-06-14
idaho,Faith-based Organizations,0,2022-06-14
idaho,"Museums, Libraries, Parks, etc.",0,2022-06-14
idaho,Animal Shelter/Service Providers,0,2022-06-14
idaho,Agriculture/Livestock Sector,0,2022-06-14
idaho,Volunteer Radio Groups,0,2022-06-14
idaho,Science/Engineering Organizations,0,2022-06-14
idaho,Media Organizations,0,2022-06-14
idaho,Other,0,2022-06-14
montana,Individuals/Families,2,2022-06-14
montana,Childcare and Pre-Schools,0,2022-06-14
montana,K-12 Schools and Districts,699,2022-06-14
montana,Colleges and Universities,0,2022-06-14
montana,Local Government,0,2022-06-14
montana,State Government,50,2022-06-14
montana,Federal/National Government (Including Military),0,2022-06-14
montana,Tribes/Indigenous Peoples,0,2022-06-14
montana,Businesses,0,2022-06-14
montana,Hotels and Other Lodgings,0,2022-06-14
montana,Healthcare,205,2022-06-14
montana,Senior Facilities/Communities,0,2022-06-14
montana,Disability/AFN Organizations,0,2022-06-14
montana,Non-Profit Organizations,0,2022-06-14
montana,Neighborhood Groups,0,2022-06-14
montana,Preparedness Organizations,0,2022-06-14
montana,Faith-based Organizations,0,2022-06-14
montana,"Museums, Libraries, Parks, etc.",0,2022-06-14
montana,Animal Shelter/Service Providers,0,2022-06-14
montana,Agriculture/Livestock Sector,0,2022-06-14
montana,Volunteer Radio Groups,0,2022-06-14
montana,Science/Engineering Organizations,0,2022-06-14
montana,Media Organizations,0,2022-06-14
montana,Other,0,2022-06-14
nevada,Individuals/Families,9,2022-06-14
nevada,Childcare and Pre-Schools,105,2022-06-14
nevada,K-12 Schools and Districts,938,2022-06-14
nevada,Colleges and Universities,0,2022-06-14
nevada,Local Government,0,2022-06-14
nevada,State Government,0,2022-06-14
nevada,Federal/National Government (Including Military),0,2022-06-14
nevada,Tribes/Indigenous Peoples,0,2022-06-14
nevada,Businesses,100,2022-06-14
nevada,Hotels and Other Lodgings,0,2022-06-14
nevada,Healthcare,423,2022-06-14
nevada,Senior Facilities/Communities,0,2022-06-14
nevada,Disability/AFN Organizations,10,2022-06-14
nevada,Non-Profit Organizations,4,2022-06-14
nevada,Neighborhood Groups,0,2022-06-14
nevada,Preparedness Organizations,0,2022-06-14
nevada,Faith-based Organizations,0,2022-06-14
nevada,"Museums, Libraries, Parks, etc.",0,2022-06-14
nevada,Animal Shelter/Service Providers,0,2022-06-14
nevada,Agriculture/Livestock Sector,0,2022-06-14
nevada,Volunteer Radio Groups,0,2022-06-14
nevada,Science/Engineering Organizations,10,2022-06-14
nevada,Media Organizations,0,2022-06-14
nevada,Other,0,2022-06-14
newmexico,Individuals/Families,3,2022-06-14
newmexico,Childcare and Pre-Schools,0,2022-06-14
newmexico,K-12 Schools and Districts,0,2022-06-14
newmexico,Colleges and Universities,0,2022-06-14
newmexico,Local Government,"1,500",2022-06-14
newmexico,State Government,70,2022-06-14
newmexico,Federal/National Government (Including Military),0,2022-06-14
newmexico,Tribes/Indigenous Peoples,0,2022-06-14
newmexico,Businesses,0,2022-06-14
newmexico,Hotels and Other Lodgings,0,2022-06-14
newmexico,Healthcare,20,2022-06-14
newmexico,Senior Facilities/Communities,0,2022-06-14
